doc_id,essay_id,para_id,para_types,span_pos,adu_pos,aty,parent_pos,afu,text,rel_pairs,root
1,0,1,intro,1,0,none,0,none,"<para-intro> It is always said that competition can effectively promote the development of economy . In order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers . However , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life . From this point of view , I firmly believe that",none,-1
1,0,1,intro,2,1,MajorClaim,0,none,<AC> we should attach more importance to cooperation during primary education </AC>,[],0
1,0,1,intro,3,0,none,0,none,. </para-intro>,none,-1
2,0,2,body,1,0,none,0,none,"<para-body> First of all ,",none,-1
2,0,2,body,2,1,Claim,0,none,"<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>","[(0, 0)]",2
2,0,2,body,3,0,none,0,none,.,none,-1
2,0,2,body,4,2,Premise,1,Support,"<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>","[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,5,0,none,0,none,.,none,-1
2,0,2,body,6,3,Premise,1,Support,"<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>","[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,7,0,none,0,none,.,none,-1
2,0,2,body,8,4,Premise,1,Support,<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>,"[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,9,0,none,0,none,. </para-body>,none,-1
3,0,3,body,1,0,none,0,none,"<para-body> On the other hand ,",none,-1
3,0,3,body,2,1,Premise,2,Support,<AC> the significance of competition is that how to become more excellence to gain the victory </AC>,"[(0, 1), (2, 4), (3, 4)]",0
3,0,3,body,3,0,none,0,none,. Hence it is always said that,none,-1
3,0,3,body,4,2,Claim,0,Support,<AC> competition makes the society more effective </AC>,"[(2, 4), (3, 4)]",0
3,0,3,body,5,0,none,0,none,". However ,",none,-1
3,0,3,body,6,3,Premise,5,Support,"<AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC>","[(2, 4), (3, 4)]",0
3,0,3,body,7,0,none,0,none,". The greater our goal is , the more competition we need .",none,-1
