doc_id,adu1_pos,adu2_pos,adu1_aty,adu2_aty,rel_label,adu1_text,adu2_text
2,1,2,Claim,Premise,none,"<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>","<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>"
2,1,3,Claim,Premise,none,"<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>","<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>"
2,1,4,Claim,Premise,none,"<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>",<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>
2,2,1,Premise,Claim,Support,"<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>","<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>"
2,2,3,Premise,Premise,none,"<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>","<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>"
2,2,4,Premise,Premise,none,"<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>",<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>
2,3,1,Premise,Claim,Support,"<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>","<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>"
2,3,2,Premise,Premise,none,"<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>","<AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC>"
2,3,4,Premise,Premise,none,"<AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC>",<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>
2,4,1,Premise,Claim,Support,<AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC>,"<AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC>"
