doc_id,adu1_pos,adu2_pos,adu1_aty,adu2_aty,rel_label,adu1_text,adu2_text
2,1,2,Claim,Premise,none,"First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students ",".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others "
2,1,3,Claim,Premise,none,"First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students ",".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred "
2,1,4,Claim,Premise,none,"First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students ",.  All of these skills help them to get on well with other people and will benefit them for the whole life 
2,2,1,Premise,Claim,Support,".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others ","First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students "
2,2,3,Premise,Premise,none,".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others ",".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred "
2,2,4,Premise,Premise,none,".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others ",.  All of these skills help them to get on well with other people and will benefit them for the whole life 
2,3,1,Premise,Claim,Support,".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred ","First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students "
2,3,2,Premise,Premise,none,".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred ",".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others "
2,3,4,Premise,Premise,none,".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred ",.  All of these skills help them to get on well with other people and will benefit them for the whole life 
2,4,1,Premise,Claim,Support,.  All of these skills help them to get on well with other people and will benefit them for the whole life ,"First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students "
2,4,2,Premise,Premise,none,.  All of these skills help them to get on well with other people and will benefit them for the whole life ,".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others "
2,4,3,Premise,Premise,none,.  All of these skills help them to get on well with other people and will benefit them for the whole life ,".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred "
3,1,2,Premise,Claim,Support,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory ",Hence it is always said that  competition makes the society more effective 
3,1,3,Premise,Premise,none,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory ","However ,  when we consider about the question that how to win the game , we always find that we need the cooperation "
3,1,4,Premise,Premise,none,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory ",".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care "
3,1,5,Premise,Claim,none,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory ","Therefore  without the cooperation , there would be no victory of competition "
3,2,1,Claim,Premise,none,Hence it is always said that  competition makes the society more effective ,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory "
3,2,3,Claim,Premise,none,Hence it is always said that  competition makes the society more effective ,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation "
3,2,4,Claim,Premise,none,Hence it is always said that  competition makes the society more effective ,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care "
3,2,5,Claim,Claim,none,Hence it is always said that  competition makes the society more effective ,"Therefore  without the cooperation , there would be no victory of competition "
3,3,1,Premise,Premise,none,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation ","On the other hand ,  the significance of competition is that how to become more excellence to gain the victory "
3,3,2,Premise,Claim,none,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation ",Hence it is always said that  competition makes the society more effective 
3,3,4,Premise,Premise,none,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation ",".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care "
3,3,5,Premise,Claim,Support,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation ","Therefore  without the cooperation , there would be no victory of competition "
3,4,1,Premise,Premise,none,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care ","On the other hand ,  the significance of competition is that how to become more excellence to gain the victory "
3,4,2,Premise,Claim,none,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care ",Hence it is always said that  competition makes the society more effective 
3,4,3,Premise,Premise,none,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care ","However ,  when we consider about the question that how to win the game , we always find that we need the cooperation "
3,4,5,Premise,Claim,Support,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care ","Therefore  without the cooperation , there would be no victory of competition "
3,5,1,Claim,Premise,none,"Therefore  without the cooperation , there would be no victory of competition ","On the other hand ,  the significance of competition is that how to become more excellence to gain the victory "
3,5,2,Claim,Claim,none,"Therefore  without the cooperation , there would be no victory of competition ",Hence it is always said that  competition makes the society more effective 
3,5,3,Claim,Premise,none,"Therefore  without the cooperation , there would be no victory of competition ","However ,  when we consider about the question that how to win the game , we always find that we need the cooperation "
