doc_id,essay_id,para_id,para_types,span_pos,adu_pos,aty,parent_pos,afu,text,rel_pairs,root
1,0,1,intro,1,0,none,0,none,"<para-intro> It is always said that competition can effectively promote the development of economy . In order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers . However , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life .",none,-1
1,0,1,intro,2,1,MajorClaim,0,none,"From this point of view , I firmly believe that  we should attach more importance to cooperation during primary education ",[],0
1,0,1,intro,3,0,none,0,none,. </para-intro>,none,-1
2,0,2,body,1,0,none,0,none,<para-body>,none,-1
2,0,2,body,2,1,Claim,0,none,"First of all ,  through cooperation , children can learn about interpersonal skills which are significant in the future life of all students ","[(0, 0)]",2
2,0,2,body,3,0,none,0,none,,none,-1
2,0,2,body,4,2,Premise,1,Support,".  What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others ","[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,5,0,none,0,none,,none,-1
2,0,2,body,6,3,Premise,1,Support,".  During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred ","[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,7,0,none,0,none,,none,-1
2,0,2,body,8,4,Premise,1,Support,.  All of these skills help them to get on well with other people and will benefit them for the whole life ,"[(1, 0), (2, 0), (3, 0)]",0
2,0,2,body,9,0,none,0,none,. </para-body>,none,-1
3,0,3,body,1,0,none,0,none,<para-body>,none,-1
3,0,3,body,2,1,Premise,2,Support,"On the other hand ,  the significance of competition is that how to become more excellence to gain the victory ","[(0, 1), (2, 4), (3, 4)]",0
3,0,3,body,3,0,none,0,none,.,none,-1
3,0,3,body,4,2,Claim,0,Support,Hence it is always said that  competition makes the society more effective ,"[(2, 4), (3, 4)]",0
3,0,3,body,5,0,none,0,none,.,none,-1
3,0,3,body,6,3,Premise,5,Support,"However ,  when we consider about the question that how to win the game , we always find that we need the cooperation ","[(2, 4), (3, 4)]",0
3,0,3,body,7,0,none,0,none,". The greater our goal is , the more competition we need",none,-1
3,0,3,body,8,4,Premise,5,Support,".  Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care ","[(2, 4), (3, 4)]",0
3,0,3,body,9,0,none,0,none,. The winner is the athlete but the success belongs to the whole team .,none,-1
3,0,3,body,10,5,Claim,0,none,"Therefore  without the cooperation , there would be no victory of competition ","[(4, 4)]",2
3,0,3,body,11,0,none,0,none,. </para-body>,none,-1
4,0,4,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
4,0,4,conclusion,2,1,MajorClaim,0,none,"Consequently , no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that  a more cooperative attitudes towards life is more profitable in one ' s success ",[],0
4,0,4,conclusion,3,0,none,0,none,. </para-conclusion>,none,-1
11,2,11,intro,1,0,none,0,none,"<para-intro> The last decade has seen an increasing number of tourists traveling to visit natural wonder sights , ancient heritages and different cultures around the world .",none,-1
11,2,11,intro,2,1,MajorClaim,0,none,"While some people might think that this international tourism has negative effects on the destination countries , I would contend that  it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations ",[],0
11,2,11,intro,3,0,none,0,none,. </para-intro>,none,-1
12,2,12,body,1,0,none,0,none,<para-body>,none,-1
12,2,12,body,2,1,Premise,4,Support,"Firstly ,  international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists ","[(0, 3), (1, 3), (2, 3)]",0
12,2,12,body,3,0,none,0,none,,none,-1
12,2,12,body,4,2,Premise,4,Support,".  Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores ","[(0, 3), (1, 3), (2, 3)]",0
12,2,12,body,5,0,none,0,none,,none,-1
12,2,12,body,6,3,Premise,4,Support,.  These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard ,"[(0, 3), (1, 3), (2, 3)]",0
12,2,12,body,7,0,none,0,none,.,none,-1
12,2,12,body,8,4,Claim,0,none,Therefore  tourism has clearly improved lives in the tourist country ,"[(3, 3)]",2
12,2,12,body,9,0,none,0,none,. </para-body>,none,-1
13,2,13,body,1,0,none,0,none,<para-body>,none,-1
13,2,13,body,2,1,Premise,4,Support,"Secondly ,  through tourism industry , many cultural values have been preserved and natural environments have been protected ","[(0, 3), (1, 3), (2, 3)]",0
13,2,13,body,3,0,none,0,none,.,none,-1
13,2,13,body,4,2,Premise,4,Support,"For instance ,  in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry ","[(0, 3), (1, 3), (2, 3)]",0
13,2,13,body,5,0,none,0,none,,none,-1
13,2,13,body,6,3,Premise,4,Support,".  Without this support and profit from tourism , many traditional cultures would disappear due to its low income works ","[(0, 3), (1, 3), (2, 3)]",0
13,2,13,body,7,0,none,0,none,.,none,-1
13,2,13,body,8,4,Claim,0,none,"Thus ,  tourism has survived many non - tangible cultural values and beauty scenes ","[(3, 3)]",2
13,2,13,body,9,0,none,0,none,. </para-body>,none,-1
14,2,14,conclusion,1,0,none,0,none,<para-conclusion>,none,-1
14,2,14,conclusion,2,1,MajorClaim,0,none,"To conclude , as far as I am concerned ,  international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries ",[],0
